StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,Quarter,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Weekly,5/9/21,5/15/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,38200,44844,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Weekly,5/16/21,5/22/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,38200,44844,7953,
Maryland,MD,District,No,,,,,Anne Arundel,Regular local school district,2400060,MD-02,83044,Weekly,5/23/21,5/29/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,38200,44844,7953,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Monthly,9/1/20,9/30/20,Q1,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,234,0,77622,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Monthly,10/1/20,10/31/20,Q1,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,234,0,77622,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Monthly,11/1/20,11/30/20,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,234,0,77622,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Monthly,12/1/20,12/31/20,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,234,0,77622,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Monthly,1/1/21,1/31/21,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,701,77155,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Monthly,2/1/21,2/28/21,Q3,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,78,16583,61117,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Weekly,3/1/21,3/6/21,Q3,Virtual,Hybrid,Virtual,Virtual,K-2: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 3-12 [no change from virtual toward phased re-opening reported],,,,78,16583,61117,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Weekly,3/7/21,3/13/21,Q3,Virtual,Hybrid,Virtual,Virtual,K-2: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 3-12 [no change from virtual toward phased re-opening reported],,,,78,16583,61117,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Weekly,3/14/21,3/20/21,Q3,Hybrid,Hybrid,Virtual,Virtual,"K-5, 9: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 6-8,10-12 [no change from virtual toward phased re-opening reported]",,,,78,16583,61117,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Weekly,3/21/21,3/27/21,Q3,Hybrid,Hybrid,Virtual,Virtual,"K-5, 9: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 6-8,10-12 [no change from virtual toward phased re-opening reported]",,,,78,16583,61117,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Weekly,3/28/21,4/3/21,Q3,Hybrid,Hybrid,Virtual,Virtual,"K-5, 9: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 6-8,10-12 [no change from virtual toward phased re-opening reported]",,,,78,16583,61117,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Weekly,4/4/21,4/10/21,Q4,Hybrid,Hybrid,Virtual,Virtual,"K-5, 9: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 6-8,10-12 [no change from virtual toward phased re-opening reported]",,,,78,16583,61117,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Weekly,4/11/21,4/17/21,Q4,Hybrid,Hybrid,Hybrid,Virtual,"K-8, 9: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 10-12 [no change from virtual toward phased re-opening reported]",,,,78,24525,53254,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Weekly,4/18/21,4/24/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,78,24525,53254,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Weekly,4/25/21,5/1/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,78,24525,53254,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Weekly,5/2/21,5/8/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,78,24525,53254,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Weekly,5/9/21,5/15/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,78,24525,53254,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Weekly,5/16/21,5/22/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,78,24525,53254,7449,
Maryland,MD,District,No,,,,,Baltimore City,Regular local school district,2400090,MD-30,77856,Weekly,5/23/21,5/29/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,78,24525,53254,7449,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Monthly,9/1/20,9/30/20,Q1,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,111084,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Monthly,10/1/20,10/31/20,Q1,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,111084,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Monthly,11/1/20,11/30/20,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,111084,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Monthly,12/1/20,12/31/20,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,111084,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Monthly,1/1/21,1/31/21,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,111084,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Monthly,2/1/21,2/28/21,Q3,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,55431,55653,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Weekly,3/1/21,3/6/21,Q3,Virtual,Hybrid,Virtual,Virtual,PreK-2: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 3-12 [no change from virtual toward phased re-opening reported],,,,0,55431,55653,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Weekly,3/7/21,3/13/21,Q3,Virtual,Hybrid,Virtual,Virtual,PreK-2: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 3-12 [no change from virtual toward phased re-opening reported],,,,0,55431,55653,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Weekly,3/14/21,3/20/21,Q3,Virtual,Hybrid,Virtual,Virtual,PreK-2: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 3-12 [no change from virtual toward phased re-opening reported],,,,0,55431,55653,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Weekly,3/21/21,3/27/21,Q3,Virtual,Hybrid,Virtual,Virtual,"PreK-2,6,9: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 3-12 [no change from virtual toward phased re-opening reported]",,,,0,55431,55653,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Weekly,3/28/21,4/3/21,Q3,Virtual,Hybrid,Virtual,Virtual,"PreK-2,6,9: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr 3-12 [no change from virtual toward phased re-opening reported]",,,,0,55431,55653,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Weekly,4/4/21,4/10/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,55431,55653,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Weekly,4/11/21,4/17/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,55431,55653,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Weekly,4/18/21,4/24/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,59308,51687,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Weekly,4/25/21,5/1/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,59308,51687,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Weekly,5/2/21,5/8/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom.,,,,0,59308,51687,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Weekly,5/9/21,5/15/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom.,,,,0,59308,51687,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Weekly,5/16/21,5/22/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom.,,,,0,59308,51687,10721,
Maryland,MD,District,No,,,,,Baltimore County,Regular local school district,2400120,MD-03,111084,Weekly,5/23/21,5/29/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,All grades: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom.,,,,0,59308,51687,10721,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Monthly,9/1/20,9/30/20,Q1,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,581,2156,12555,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Monthly,10/1/20,10/31/20,Q1,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,581,2156,12555,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Monthly,11/1/20,11/30/20,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,581,2156,12555,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Monthly,12/1/20,12/31/20,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,581,2156,12555,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Monthly,1/1/21,1/31/21,Q2,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,15292,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Monthly,2/1/21,2/28/21,Q3,Hybrid,Hybrid,Virtual,Virtual,PreK-6 Alt weeks: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr7-12: [no change toward phased re-opening reported],,,,1223,8258,5658,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Weekly,3/1/21,3/6/21,Q3,Hybrid,Hybrid,Virtual,Virtual,PreK-6 Alt weeks: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom; Gr7-12: [no change toward phased re-opening reported],,,,1223,8258,5658,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Weekly,3/7/21,3/13/21,Q3,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,1223,8258,5658,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Weekly,3/14/21,3/20/21,Q3,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,1223,8258,5658,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Weekly,3/21/21,3/27/21,Q3,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,1223,8258,5658,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Weekly,3/28/21,4/3/21,Q3,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,1223,8258,5658,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Weekly,4/4/21,4/10/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,1223,8258,5658,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Weekly,4/11/21,4/17/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,2141,7646,5505,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Weekly,4/18/21,4/24/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,2141,7646,5505,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Weekly,4/25/21,5/1/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,2141,7646,5505,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Weekly,5/2/21,5/8/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,2141,7646,5505,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Weekly,5/9/21,5/15/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,2141,7646,5505,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Weekly,5/16/21,5/22/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,2141,7646,5505,1412,
Maryland,MD,District,No,,,,,Calvert,Regular local school district,2400150,MD-04,15292,Weekly,5/23/21,5/29/21,Q4,Hybrid,Hybrid,Hybrid,Hybrid,PreK-12: 4 full days every other week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,2141,7646,5505,1412,
Maryland,MD,District,No,,,,,Caroline,Regular local school district,2400180,MD-05,5553,Monthly,9/1/20,9/30/20,Q1,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,439,888,4226,567,
Maryland,MD,District,No,,,,,Caroline,Regular local school district,2400180,MD-05,5553,Monthly,10/1/20,10/31/20,Q1,Virtual,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,439,888,4226,567,
